,bed,bath,cube,home,price,area,address,latitude,longitude
0,3,1,,Terraced House,249950,Dublin 15,"75 Whitestown Ave, Blanchardstown, Dublin, D15 E4WV, Ireland",53.3983645,-6.3952271
1,,,154,Site,295000,D03K886,"183 Howth Rd, Clontarf, Dublin 3, D03 Y1K7, Ireland",53.3708183,-6.205589799999999
2,3,2,,Terraced House,325000,Dublin 11,"60 Ferndale Ave, Ballygall, Dublin 11, D11 X622, Ireland",53.3874154,-6.2848389
3,1,1,,Apartment,320000,Dublin 14,"14 Roebuck Rd, Stillorgan, Dublin, Co. Dun Laoghaire-Rathdown, Ireland",53.2991125,-6.2203243
4,2,1,77.72,Duplex,235000,Dublin 15,"45 Delhurst Ave, Ongar Park, Dublin, D15 E3W7, Ireland",53.3924287,-6.437477299999999
5,2,3,77.42,Terraced House,295000,Clonsilla,"3 Latchford Green, Castaheany, Clonee, Co. Dublin, D15 P5Y0, Ireland",53.3979016,-6.4327057
6,3,3,170,Semi-Detached House,1400000,Dublin 6,"Cullenswood Lodge, Richmond Ave S, Rathmines, Dublin 6, Ireland",53.31302280000001,-6.253531
7,4,3,125,Semi-Detached House,435000,Dublin 15,"23 Limelawn Ct, Clonsilla, Dublin, D15 V3K6, Ireland",53.385304,-6.405074099999999
8,3,1,90,Semi-Detached House,575000,Dublin 3 DO3 R861,"6 Castle Ct, Clontarf, Dublin 3, D03 R861, Ireland",53.3682148,-6.215812
9,2,1,59,Apartment,270000,Dublin 15 D15 EA30,"Beacon, Ashtown, Dublin, Ireland",53.37682789999999,-6.3107818
10,3,1,104,Terraced House,495000,Dublin 9 D09 W2N4,"12 Annadale Cres, Drumcondra, Dublin 9, D09 W2N4, Ireland",53.3704648,-6.2396052
11,1,1,44,Apartment,235000,Dublin 3 D03 RW83,"7 Fairfield Ave, North Dock, Dublin, D03 RW83, Ireland",53.35506059999999,-6.2358341
12,2,1,68,End of Terrace House,380000,Dublin 3 DO3 V103,"11 Brighton Ave, Clontarf, Dublin 3, D03 V103, Ireland",53.366588,-6.225237300000001
13,2,2,108,Apartment,785000,Co Dublin D13RK26,"Howth Lodge Hotel, Quarry, Dublin, Co. Dublin, Ireland",53.3903492,-6.085067200000001
14,6,3,284,Terraced House,875000,Dublin 3 DO3 P932,"405 Clontarf Rd, Clontarf, Dublin 3, D03 P932, Ireland",53.36496469999999,-6.176007299999999
15,4,3,118,Semi-Detached House,750000,Dublin 3 DO3 T384,"12 Park Lawn, Clontarf, Dublin 3, D03 T384, Ireland",53.3686507,-6.180988699999999
16,6,7,562,Detached House,1950000,Co Dublin K36 E335,"48 Abington, Auburn, Malahide, Co. Dublin, K36 E335, Ireland",53.4434752,-6.182752199999999
17,2,2,95,Apartment,900000,Dublin 13  D13 N625,"10, Sutton Castle, Shielmartin Rd, Sutton South, Dublin 13, Ireland",53.3719532,-6.0939872
18,2,2,81,Apartment,265000,Dublin 15,"Apartment 100, Whatley Hall, Coill an Áirséaraigh, Parslickstown, Clonee, Co. Dublin, Ireland",53.4043808,-6.4075204
19,5,3,160,Semi-Detached House,695000,Dublin 16,"207 Woodfield, Scholarstown Rd, Schollarstown, Dublin 16, D16 P7A4, Ireland",53.2763108,-6.3091876
